,Date,State,Positive_Cases
551,03/16/2020,American Samoa,0.0
552,03/16/2020,Arizona,18.0
553,03/16/2020,California,335.0
554,03/16/2020,Colorado,131.0
555,03/16/2020,Connecticut,26.0
556,03/16/2020,District of Columbia,17.0
557,03/16/2020,Delaware,8.0
558,03/16/2020,Florida,141.0
559,03/16/2020,Georgia,121.0
560,03/16/2020,Guam,3.0
561,03/16/2020,Hawaii,7.0
562,03/16/2020,Iowa,22.0
563,03/16/2020,Idaho,5.0
564,03/16/2020,Illinois,93.0
565,03/16/2020,Indiana,24.0
566,03/16/2020,Kansas,11.0
567,03/16/2020,Kentucky,21.0
568,03/16/2020,Louisiana,114.0
569,03/16/2020,Massachusetts,164.0
570,03/16/2020,Maryland,37.0
571,03/16/2020,Maine,17.0
572,03/16/2020,Michigan,1933.0
573,03/16/2020,Minnesota,54.0
574,03/16/2020,Missouri,6.0
575,03/16/2020,Northern Mariana Islands,0.0
576,03/16/2020,Mississippi,12.0
577,03/16/2020,Montana,7.0
578,03/16/2020,North Carolina,33.0
579,03/16/2020,North Dakota,1.0
580,03/16/2020,Nebraska,18.0
581,03/16/2020,New Hampshire,13.0
582,03/16/2020,New Jersey,178.0
583,03/16/2020,New Mexico,17.0
584,03/16/2020,Nevada,45.0
585,03/16/2020,New York,950.0
586,03/16/2020,Ohio,50.0
587,03/16/2020,Oklahoma,10.0
588,03/16/2020,Oregon,39.0
589,03/16/2020,Pennsylvania,76.0
590,03/16/2020,Puerto Rico,5.0
591,03/16/2020,Rhode Island,21.0
592,03/16/2020,South Carolina,28.0
593,03/16/2020,South Dakota,10.0
594,03/16/2020,Tennessee,52.0
595,03/16/2020,Texas,57.0
596,03/16/2020,Utah,39.0
597,03/16/2020,Virginia,51.0
598,03/16/2020,Virgin Islands,1.0
599,03/16/2020,Vermont,8.0
600,03/16/2020,Washington,1052.0
601,03/16/2020,Wisconsin,47.0
602,03/16/2020,West Virginia,0.0
603,03/16/2020,Wyoming,3.0
604,03/17/2020,Alaska,3.0
605,03/17/2020,Alabama,36.0
606,03/17/2020,Arkansas,22.0
607,03/17/2020,American Samoa,0.0
608,03/17/2020,Arizona,20.0
609,03/17/2020,California,483.0
610,03/17/2020,Colorado,160.0
611,03/17/2020,Connecticut,41.0
612,03/17/2020,District of Columbia,22.0
613,03/17/2020,Delaware,16.0
614,03/17/2020,Florida,186.0
615,03/17/2020,Georgia,146.0
616,03/17/2020,Guam,5.0
617,03/17/2020,Hawaii,10.0
618,03/17/2020,Iowa,23.0
619,03/17/2020,Idaho,7.0
620,03/17/2020,Illinois,159.0
621,03/17/2020,Indiana,30.0
622,03/17/2020,Kansas,15.0
623,03/17/2020,Kentucky,22.0
624,03/17/2020,Louisiana,171.0
625,03/17/2020,Massachusetts,218.0
626,03/17/2020,Maryland,57.0
627,03/17/2020,Maine,32.0
628,03/17/2020,Michigan,2393.0
629,03/17/2020,Minnesota,60.0
630,03/17/2020,Missouri,8.0
631,03/17/2020,Northern Mariana Islands,0.0
632,03/17/2020,Mississippi,21.0
633,03/17/2020,Montana,8.0
634,03/17/2020,North Carolina,40.0
635,03/17/2020,North Dakota,3.0
636,03/17/2020,Nebraska,21.0
637,03/17/2020,New Hampshire,17.0
638,03/17/2020,New Jersey,267.0
639,03/17/2020,New Mexico,23.0
640,03/17/2020,Nevada,55.0
641,03/17/2020,New York,1700.0
642,03/17/2020,Ohio,67.0
643,03/17/2020,Oklahoma,17.0
644,03/17/2020,Oregon,47.0
645,03/17/2020,Pennsylvania,96.0
646,03/17/2020,Puerto Rico,5.0
647,03/17/2020,Rhode Island,23.0
648,03/17/2020,South Carolina,33.0
649,03/17/2020,South Dakota,11.0
650,03/17/2020,Tennessee,73.0
651,03/17/2020,Texas,64.0
652,03/17/2020,Utah,51.0
653,03/17/2020,Virginia,67.0
654,03/17/2020,Virgin Islands,2.0
655,03/17/2020,Vermont,10.0
656,03/17/2020,Washington,1218.0
657,03/17/2020,Wisconsin,72.0
658,03/17/2020,West Virginia,0.0
659,03/17/2020,Wyoming,10.0
660,03/18/2020,Alaska,6.0
661,03/18/2020,Alabama,46.0
662,03/18/2020,Arkansas,33.0
663,03/18/2020,American Samoa,0.0
664,03/18/2020,Arizona,28.0
665,03/18/2020,California,611.0
666,03/18/2020,Colorado,183.0
667,03/18/2020,Connecticut,68.0
668,03/18/2020,District of Columbia,31.0
669,03/18/2020,Delaware,25.0
670,03/18/2020,Florida,314.0
671,03/18/2020,Georgia,197.0
672,03/18/2020,Guam,8.0
673,03/18/2020,Hawaii,14.0
674,03/18/2020,Iowa,29.0
675,03/18/2020,Idaho,9.0
676,03/18/2020,Illinois,288.0
677,03/18/2020,Indiana,39.0
678,03/18/2020,Kansas,16.0
679,03/18/2020,Kentucky,26.0
680,03/18/2020,Louisiana,240.0
681,03/18/2020,Massachusetts,256.0
682,03/18/2020,Maryland,85.0
683,03/18/2020,Maine,43.0
684,03/18/2020,Michigan,2913.0
685,03/18/2020,Minnesota,77.0
686,03/18/2020,Missouri,13.0
687,03/18/2020,Northern Mariana Islands,0.0
688,03/18/2020,Mississippi,34.0
689,03/18/2020,Montana,10.0
690,03/18/2020,North Carolina,63.0
691,03/18/2020,North Dakota,6.0
692,03/18/2020,Nebraska,24.0
693,03/18/2020,New Hampshire,26.0
694,03/18/2020,New Jersey,427.0
695,03/18/2020,New Mexico,28.0
696,03/18/2020,Nevada,55.0
697,03/18/2020,New York,2382.0
698,03/18/2020,Ohio,88.0
699,03/18/2020,Oklahoma,29.0
700,03/18/2020,Oregon,75.0
701,03/18/2020,Pennsylvania,133.0
702,03/18/2020,Puerto Rico,5.0
703,03/18/2020,Rhode Island,33.0
704,03/18/2020,South Carolina,60.0
705,03/18/2020,South Dakota,11.0
706,03/18/2020,Tennessee,98.0
707,03/18/2020,Texas,83.0
708,03/18/2020,Utah,63.0
709,03/18/2020,Virginia,77.0
710,03/18/2020,Virgin Islands,2.0
711,03/18/2020,Vermont,19.0
712,03/18/2020,Washington,1388.0
713,03/18/2020,Wisconsin,106.0
714,03/18/2020,West Virginia,1.0
715,03/18/2020,Wyoming,15.0
716,03/19/2020,Alaska,6.0
717,03/19/2020,Alabama,68.0
718,03/19/2020,Arkansas,46.0
719,03/19/2020,American Samoa,0.0
720,03/19/2020,Arizona,44.0
721,03/19/2020,California,924.0
722,03/19/2020,Colorado,216.0
723,03/19/2020,Connecticut,96.0
724,03/19/2020,District of Columbia,39.0
725,03/19/2020,Delaware,30.0
726,03/19/2020,Florida,390.0
727,03/19/2020,Georgia,287.0
728,03/19/2020,Guam,12.0
729,03/19/2020,Hawaii,16.0
730,03/19/2020,Iowa,38.0
731,03/19/2020,Idaho,11.0
732,03/19/2020,Illinois,422.0
733,03/19/2020,Indiana,56.0
734,03/19/2020,Kansas,34.0
735,03/19/2020,Kentucky,35.0
736,03/19/2020,Louisiana,347.0
737,03/19/2020,Massachusetts,328.0
738,03/19/2020,Maryland,107.0
739,03/19/2020,Maine,53.0
740,03/19/2020,Michigan,3392.0
741,03/19/2020,Minnesota,89.0
742,03/19/2020,Missouri,24.0
743,03/19/2020,Northern Mariana Islands,0.0
744,03/19/2020,Mississippi,50.0
745,03/19/2020,Montana,12.0
746,03/19/2020,North Carolina,97.0
747,03/19/2020,North Dakota,15.0
748,03/19/2020,Nebraska,27.0
749,03/19/2020,New Hampshire,39.0
750,03/19/2020,New Jersey,742.0
751,03/19/2020,New Mexico,35.0
752,03/19/2020,Nevada,95.0
753,03/19/2020,New York,4152.0
754,03/19/2020,Ohio,119.0
755,03/19/2020,Oklahoma,44.0
