,date,state,positive
485,20200408,NY,149316.0
486,20200408,OH,5148.0
487,20200408,OK,1524.0
488,20200408,OR,1239.0
489,20200408,PA,16239.0
490,20200408,PR,620.0
491,20200408,RI,1450.0
492,20200408,SC,2552.0
493,20200408,SD,393.0
494,20200408,TN,4362.0
495,20200408,TX,9353.0
496,20200408,UT,1846.0
497,20200408,VA,3645.0
498,20200408,VI,45.0
499,20200408,VT,605.0
500,20200408,WA,9506.0
501,20200408,WI,2756.0
502,20200408,WV,462.0
503,20200408,WY,221.0
504,20200407,AK,213.0
505,20200407,AL,2119.0
506,20200407,AR,946.0
507,20200407,AS,0.0
508,20200407,AZ,2575.0
509,20200407,CA,15865.0
510,20200407,CO,5172.0
511,20200407,CT,7781.0
512,20200407,DC,1211.0
513,20200407,DE,928.0
514,20200407,FL,14747.0
515,20200407,GA,8818.0
516,20200407,GU,121.0
517,20200407,HI,387.0
518,20200407,IA,1048.0
519,20200407,ID,1170.0
520,20200407,IL,13549.0
521,20200407,IN,5507.0
522,20200407,KS,900.0
523,20200407,KY,1008.0
524,20200407,LA,16284.0
525,20200407,MA,15202.0
526,20200407,MD,4371.0
527,20200407,ME,519.0
528,20200407,MI,19823.0
529,20200407,MN,1069.0
530,20200407,MO,3037.0
531,20200407,MP,8.0
532,20200407,MS,1915.0
533,20200407,MT,319.0
534,20200407,NC,3221.0
535,20200407,ND,237.0
536,20200407,NE,447.0
537,20200407,NH,715.0
538,20200407,NJ,44416.0
539,20200407,NM,686.0
540,20200407,NV,2087.0
541,20200407,NY,138863.0
542,20200407,OH,4782.0
543,20200407,OK,1472.0
544,20200407,OR,1181.0
545,20200407,PA,14559.0
546,20200407,PR,573.0
547,20200407,RI,1230.0
548,20200407,SC,2417.0
549,20200407,SD,320.0
550,20200407,TN,4138.0
551,20200407,TX,8262.0
552,20200407,UT,1738.0
553,20200407,VA,3333.0
554,20200407,VI,43.0
555,20200407,VT,575.0
556,20200407,WA,9043.0
557,20200407,WI,2578.0
558,20200407,WV,412.0
559,20200407,WY,216.0
560,20200406,AK,191.0
561,20200406,AL,1968.0
562,20200406,AR,875.0
563,20200406,AS,0.0
564,20200406,AZ,2456.0
565,20200406,CA,14336.0
566,20200406,CO,4950.0
567,20200406,CT,6906.0
568,20200406,DC,1097.0
569,20200406,DE,673.0
570,20200406,FL,13324.0
571,20200406,GA,7314.0
572,20200406,GU,113.0
573,20200406,HI,371.0
574,20200406,IA,946.0
575,20200406,ID,1101.0
576,20200406,IL,12262.0
577,20200406,IN,4944.0
578,20200406,KS,845.0
579,20200406,KY,955.0
580,20200406,LA,14867.0
581,20200406,MA,13837.0
582,20200406,MD,4045.0
583,20200406,ME,499.0
584,20200406,MI,18850.0
585,20200406,MN,986.0
586,20200406,MO,2722.0
587,20200406,MP,8.0
588,20200406,MS,1738.0
589,20200406,MT,299.0
590,20200406,NC,2870.0
591,20200406,ND,225.0
592,20200406,NE,409.0
593,20200406,NH,669.0
594,20200406,NJ,41090.0
595,20200406,NM,624.0
596,20200406,NV,1953.0
597,20200406,NY,130689.0
598,20200406,OH,4450.0
599,20200406,OK,1327.0
600,20200406,OR,1132.0
601,20200406,PA,12980.0
602,20200406,PR,513.0
603,20200406,RI,1082.0
604,20200406,SC,2049.0
605,20200406,SD,288.0
606,20200406,TN,3802.0
607,20200406,TX,7276.0
608,20200406,UT,1675.0
609,20200406,VA,2878.0
610,20200406,VI,43.0
611,20200406,VT,543.0
612,20200406,WA,8679.0
613,20200406,WI,2440.0
614,20200406,WV,345.0
615,20200406,WY,210.0
616,20200405,AK,185.0
617,20200405,AL,1796.0
618,20200405,AR,830.0
619,20200405,AS,0.0
620,20200405,AZ,2269.0
621,20200405,CA,13438.0
622,20200405,CO,4565.0
623,20200405,CT,5675.0
624,20200405,DC,998.0
625,20200405,DE,673.0
626,20200405,FL,12151.0
627,20200405,GA,6647.0
628,20200405,GU,112.0
629,20200405,HI,351.0
630,20200405,IA,868.0
631,20200405,ID,1077.0
632,20200405,IL,11256.0
633,20200405,IN,4411.0
634,20200405,KS,747.0
635,20200405,KY,917.0
636,20200405,LA,13010.0
637,20200405,MA,12500.0
638,20200405,MD,3609.0
639,20200405,ME,470.0
640,20200405,MI,17567.0
641,20200405,MN,935.0
642,20200405,MO,2367.0
643,20200405,MP,8.0
644,20200405,MS,1638.0
645,20200405,MT,286.0
646,20200405,NC,2585.0
647,20200405,ND,207.0
648,20200405,NE,363.0
649,20200405,NH,621.0
650,20200405,NJ,37505.0
651,20200405,NM,543.0
652,20200405,NV,1836.0
653,20200405,NY,122031.0
654,20200405,OH,4043.0
655,20200405,OK,1252.0
656,20200405,OR,1068.0
657,20200405,PA,11510.0
658,20200405,PR,475.0
659,20200405,RI,922.0
660,20200405,SC,2049.0
661,20200405,SD,240.0
662,20200405,TN,3633.0
663,20200405,TX,6812.0
664,20200405,UT,1605.0
665,20200405,VA,2637.0
666,20200405,VI,42.0
667,20200405,VT,512.0
668,20200405,WA,8332.0
669,20200405,WI,2267.0
670,20200405,WV,324.0
671,20200405,WY,197.0
672,20200404,AK,171.0
673,20200404,AL,1580.0
674,20200404,AR,743.0
675,20200404,AS,0.0
676,20200404,AZ,2019.0
677,20200404,CA,12026.0
678,20200404,CO,4173.0
679,20200404,CT,5276.0
680,20200404,DC,902.0
681,20200404,DE,593.0
682,20200404,FL,11111.0
683,20200404,GA,6160.0
684,20200404,GU,93.0
685,20200404,HI,319.0
686,20200404,IA,786.0
687,20200404,ID,1013.0
688,20200404,IL,10357.0
689,20200404,IN,3953.0
690,20200404,KS,698.0
691,20200404,KY,831.0
692,20200404,LA,12496.0
693,20200404,MA,11736.0
694,20200404,MD,3125.0
695,20200404,ME,456.0
696,20200404,MI,16395.0
697,20200404,MN,865.0
698,20200404,MO,2291.0
699,20200404,MP,8.0
700,20200404,MS,1455.0
701,20200404,MT,265.0
702,20200404,NC,2402.0
703,20200404,ND,186.0
704,20200404,NE,321.0
705,20200404,NH,540.0
706,20200404,NJ,34124.0
707,20200404,NM,495.0
708,20200404,NV,1742.0
709,20200404,NY,113704.0
710,20200404,OH,3739.0
711,20200404,OK,1159.0
712,20200404,OR,999.0
713,20200404,PA,10017.0
714,20200404,PR,452.0
715,20200404,RI,806.0
716,20200404,SC,1917.0
717,20200404,SD,212.0
718,20200404,TN,3321.0
719,20200404,TX,6110.0
720,20200404,UT,1428.0
721,20200404,VA,2407.0
722,20200404,VI,40.0
723,20200404,VT,461.0
724,20200404,WA,7934.0
725,20200404,WI,2112.0
726,20200404,WV,282.0
727,20200404,WY,187.0
728,20200403,AK,157.0
729,20200403,AL,1432.0
730,20200403,AR,704.0
731,20200403,AS,0.0
732,20200403,AZ,1769.0
733,20200403,CA,10701.0
734,20200403,CO,3728.0
735,20200403,CT,4914.0
736,20200403,DC,757.0
737,20200403,DE,450.0
738,20200403,FL,9585.0
739,20200403,GA,5831.0
740,20200403,GU,84.0
741,20200403,HI,285.0
742,20200403,IA,699.0
743,20200403,ID,891.0
744,20200403,IL,8904.0
745,20200403,IN,3437.0
746,20200403,KS,620.0
747,20200403,KY,770.0
748,20200403,LA,10297.0
749,20200403,MA,10402.0
750,20200403,MD,2758.0
751,20200403,ME,432.0
752,20200403,MI,15252.0
753,20200403,MN,789.0
754,20200403,MO,2113.0
755,20200403,MP,8.0
756,20200403,MS,1358.0
757,20200403,MT,243.0
758,20200403,NC,2093.0
759,20200403,ND,173.0
760,20200403,NE,279.0
761,20200403,NH,479.0
762,20200403,NJ,29895.0
763,20200403,NM,403.0
764,20200403,NV,1514.0
765,20200403,NY,102863.0
766,20200403,OH,3312.0
767,20200403,OK,988.0
768,20200403,OR,899.0
769,20200403,PA,8420.0
770,20200403,PR,378.0
771,20200403,RI,709.0
772,20200403,SC,1554.0
773,20200403,SD,187.0
774,20200403,TN,3067.0
775,20200403,TX,5330.0
776,20200403,UT,1246.0
777,20200403,VA,2012.0
778,20200403,VI,38.0
779,20200403,VT,389.0
780,20200403,WA,7548.0
781,20200403,WI,1912.0
782,20200403,WV,237.0
783,20200403,WY,162.0
784,20200402,AK,143.0
785,20200402,AL,1233.0
786,20200402,AR,643.0
787,20200402,AS,0.0
788,20200402,AZ,1598.0
789,20200402,CA,9191.0
790,20200402,CO,3342.0
791,20200402,CT,3824.0
792,20200402,DC,653.0
793,20200402,DE,393.0
794,20200402,FL,8010.0
795,20200402,GA,5348.0
796,20200402,GU,82.0
797,20200402,HI,258.0
798,20200402,IA,614.0
799,20200402,ID,669.0
800,20200402,IL,7695.0
801,20200402,IN,3039.0
802,20200402,KS,552.0
803,20200402,KY,680.0
804,20200402,LA,9150.0
805,20200402,MA,8966.0
806,20200402,MD,2331.0
807,20200402,ME,376.0
808,20200402,MI,14117.0
809,20200402,MN,742.0
810,20200402,MO,1834.0
811,20200402,MP,8.0
812,20200402,MS,1177.0
813,20200402,MT,227.0
814,20200402,NC,1857.0
815,20200402,ND,159.0
816,20200402,NE,246.0
817,20200402,NH,415.0
818,20200402,NJ,25590.0
819,20200402,NM,363.0
820,20200402,NV,1458.0
821,20200402,NY,92381.0
822,20200402,OH,2902.0
823,20200402,OK,879.0
824,20200402,OR,826.0
825,20200402,PA,7016.0
826,20200402,PR,316.0
827,20200402,RI,657.0
828,20200402,SC,1554.0
829,20200402,SD,165.0
830,20200402,TN,2845.0
831,20200402,TX,4669.0
832,20200402,UT,1074.0
833,20200402,VA,1706.0
834,20200402,VI,33.0
835,20200402,VT,338.0
836,20200402,WA,6962.0
837,20200402,WI,1730.0
838,20200402,WV,217.0
839,20200402,WY,150.0
840,20200401,AK,133.0
841,20200401,AL,1077.0
842,20200401,AR,584.0
843,20200401,AS,0.0
844,20200401,AZ,1413.0
845,20200401,CA,8155.0
846,20200401,CO,2966.0
847,20200401,CT,3557.0
848,20200401,DC,586.0
849,20200401,DE,368.0
850,20200401,FL,6955.0
851,20200401,GA,4638.0
852,20200401,GU,77.0
853,20200401,HI,208.0
854,20200401,IA,549.0
855,20200401,ID,525.0
856,20200401,IL,6980.0
857,20200401,IN,2565.0
858,20200401,KS,482.0
859,20200401,KY,591.0
860,20200401,LA,6424.0
861,20200401,MA,7738.0
862,20200401,MD,1985.0
863,20200401,ME,344.0
864,20200401,MI,12888.0
865,20200401,MN,689.0
866,20200401,MO,1581.0
867,20200401,MP,6.0
868,20200401,MS,1073.0
869,20200401,MT,208.0
870,20200401,NC,1584.0
871,20200401,ND,142.0
872,20200401,NE,210.0
873,20200401,NH,415.0
874,20200401,NJ,22255.0
875,20200401,NM,315.0
876,20200401,NV,1279.0
877,20200401,NY,83712.0
878,20200401,OH,2547.0
879,20200401,OK,719.0
880,20200401,OR,736.0
881,20200401,PA,5805.0
882,20200401,PR,286.0
883,20200401,RI,566.0
884,20200401,SC,1293.0
885,20200401,SD,129.0
886,20200401,TN,2683.0
887,20200401,TX,3997.0
888,20200401,UT,1012.0
889,20200401,VA,1484.0
890,20200401,VI,30.0
891,20200401,VT,321.0
892,20200401,WA,6593.0
893,20200401,WI,1550.0
894,20200401,WV,191.0
895,20200401,WY,130.0
896,20200331,AK,119.0
897,20200331,AL,981.0
898,20200331,AR,523.0
899,20200331,AS,0.0
900,20200331,AZ,1289.0
901,20200331,CA,7482.0
902,20200331,CO,2627.0
903,20200331,CT,3128.0
904,20200331,DC,495.0
905,20200331,DE,319.0
906,20200331,FL,6338.0
907,20200331,GA,3929.0
908,20200331,GU,69.0
909,20200331,HI,204.0
910,20200331,IA,497.0
911,20200331,ID,415.0
912,20200331,IL,5994.0
913,20200331,IN,2159.0
914,20200331,KS,428.0
915,20200331,KY,480.0
916,20200331,LA,5237.0
917,20200331,MA,6620.0
918,20200331,MD,1660.0
919,20200331,ME,303.0
920,20200331,MI,11875.0
921,20200331,MN,629.0
922,20200331,MO,1327.0
923,20200331,MP,2.0
924,20200331,MS,937.0
925,20200331,MT,184.0
926,20200331,NC,1498.0
927,20200331,ND,126.0
928,20200331,NE,172.0
929,20200331,NH,314.0
930,20200331,NJ,18696.0
931,20200331,NM,281.0
932,20200331,NV,1113.0
933,20200331,NY,75795.0
934,20200331,OH,2199.0
935,20200331,OK,565.0
936,20200331,OR,690.0
937,20200331,PA,4843.0
938,20200331,PR,239.0
939,20200331,RI,489.0
940,20200331,SC,1083.0
941,20200331,SD,108.0
942,20200331,TN,2239.0
943,20200331,TX,3266.0
944,20200331,UT,887.0
945,20200331,VA,1250.0
946,20200331,VI,30.0
947,20200331,VT,293.0
948,20200331,WA,6030.0
949,20200331,WI,1351.0
950,20200331,WV,162.0
951,20200331,WY,109.0
952,20200330,AK,114.0
953,20200330,AL,859.0
954,20200330,AR,473.0
955,20200330,AS,
956,20200330,AZ,1157.0
957,20200330,CA,6447.0
958,20200330,CO,2627.0
959,20200330,CT,2571.0
960,20200330,DC,401.0
961,20200330,DE,264.0
962,20200330,FL,5473.0
963,20200330,GA,2809.0
964,20200330,GU,58.0
965,20200330,HI,175.0
966,20200330,IA,424.0
967,20200330,ID,310.0
968,20200330,IL,5057.0
969,20200330,IN,1786.0
970,20200330,KS,368.0
971,20200330,KY,439.0
972,20200330,LA,4025.0
973,20200330,MA,5752.0
974,20200330,MD,1413.0
975,20200330,ME,275.0
976,20200330,MI,10901.0
977,20200330,MN,576.0
978,20200330,MO,1031.0
979,20200330,MP,2.0
980,20200330,MS,847.0
981,20200330,MT,171.0
982,20200330,NC,1307.0
983,20200330,ND,109.0
984,20200330,NE,145.0
985,20200330,NH,314.0
986,20200330,NJ,16636.0
987,20200330,NM,237.0
988,20200330,NV,1008.0
989,20200330,NY,66497.0
990,20200330,OH,1933.0
991,20200330,OK,481.0
992,20200330,OR,606.0
993,20200330,PA,4087.0
994,20200330,PR,174.0
995,20200330,RI,402.0
996,20200330,SC,925.0
997,20200330,SD,101.0
998,20200330,TN,1834.0
999,20200330,TX,2877.0
1000,20200330,UT,806.0
1001,20200330,VA,1020.0
1002,20200330,VI,30.0
1003,20200330,VT,256.0
1004,20200330,WA,5566.0
1005,20200330,WI,1221.0
1006,20200330,WV,126.0
1007,20200330,WY,94.0
1008,20200329,AK,102.0
1009,20200329,AL,806.0
1010,20200329,AR,426.0
1011,20200329,AS,
